NO2 Mean,O3 Mean,SO2 Mean,CO Mean,AirQualityCategory
1.9117511545852464,3.673979575739091,1.08861252390206,1.6342956552406505,Good
2.1889857027435395,4.624496492538098,1.0173980598523125,2.104859227740698,Moderate
4.781128686100619,2.810260509239296,1.0326467252234746,2.443396690050907,Bad
2.1577187192410423,3.701618585867085,1.0546332809949477,1.3695889620239272,Good
2.5452373591036435,2.0845471850909205,1.0314807617567043,2.6531636250017145,Good
1.2355537719067096,5.748514455791256,1.0279828993392923,2.198668199718899,Bad
2.558674248889402,2.30546995782632,1.108433734939759,1.6243059544641931,Good
1.7655497264483735,4.174889307236835,1.0669156191216478,1.254716992440266,Moderate
3.2405649632951574,2.8930828854790027,1.032849489312087,1.983906414379863,Moderate
1.1773663775996026,4.450900791939674,1.0746210742324136,1.234738789555551,Good
2.580173182251005,4.600832956469611,1.216867469879518,1.389567164908642,Bad
1.810417099288344,5.136954029637264,1.1472143956471046,1.3995556670168998,Bad
2.144118265406705,3.445200509028953,1.048665899727944,1.9739179122716053,Good
1.980889794013999,6.233616945195251,1.0862805969685192,1.5493891919817622,Bad
2.116076189630156,6.095516548699557,1.0,1.349611957807412,Moderate
1.1693042695268934,2.814235983298802,1.0652934224640498,1.0,Good
1.0644968645816737,5.642028543483062,1.0279828993392923,2.198668199718899,Bad
2.518363708525856,4.068403394928641,1.1130975608239408,1.0449500574894588,Moderate
2.096446697888452,3.9816055446294287,1.0089036548775747,1.4894557819958172,Moderate
1.9163929294323248,6.296656605281701,1.46404973804897,1.839067739803229,Bad
1.799200256078351,1.89523889654302,1.0012719626894675,1.5044391344923034,Good
1.212302200746964,5.925990976304912,1.0,1.1947835824543211,Moderate
2.4028068046514024,3.1375745401386155,1.1595025262339682,2.123751437236468,Moderate
1.601970714596666,3.606964441593135,1.0699572483482316,1.11986681997189,Good
1.4010022253783163,4.423356435955954,1.0559657986785853,1.5593788927582195,Good
1.50791280858068,6.884364187078657,1.064127486980179,1.4794672798875594,Bad
1.908330821359616,2.6091204526571525,1.3218033424018656,1.349611957807412,Bad
2.390888880523407,2.687967354837353,1.06486945355616,1.9489460576668611,Good
2.800048862824608,3.685811343773335,1.0510992087057909,1.5144288352687607,Good
2.1711272949032496,3.5319983593281656,1.367275553828216,1.3096555520379822,Bad
